ratio,numerator,denominator,smoothing_beta,smoothing_prior_rate,validation_video_coverage_pct,median,p99,spearman_with_train_item_long_view_rate,validation_GAUC,validation_nDCG@5,validation_primary,delta_primary_vs_train_item_pop
play_per_show,play_cnt,show_cnt,20.0,0.7341592680758505,100.0,0.6388059824526428,1.024929208443101,0.4482666136329277,0.581677963411357,0.49952170957415604,0.5405998364927566,-0.040122092841531676
complete_play_per_show,complete_play_cnt,show_cnt,20.0,0.17883673146205334,100.0,0.0988889354261067,0.546731098036519,0.4395846331674137,0.5946305290942966,0.5056254585040224,0.5501279937991594,-0.03059393553512879
valid_play_per_show,valid_play_cnt,show_cnt,20.0,0.43487905920734843,100.0,0.3217535490715856,0.7491782882766691,0.6543013434808095,0.6248415734678067,0.5169059549858169,0.5708737642268118,-0.009848165107476436
long_play_per_show,long_time_play_cnt,show_cnt,20.0,0.34943115545886283,100.0,0.24055263272362976,0.6506006916899403,0.7166721648046149,0.6384898365446353,0.5222663519577336,0.5803780942511845,-0.00034383508310376065
short_play_per_show,short_time_play_cnt,show_cnt,20.0,0.19968744505279895,100.0,0.17547223637406426,0.526999003049267,0.013956741477505447,0.47172560288604404,0.4515057836266912,0.46161569325636764,-0.11910623607792059
like_per_show,like_cnt,show_cnt,20.0,0.021866522076881036,100.0,0.01253068145682444,0.11570274772370336,0.2633140261240629,0.49974664628993004,0.46773484041888863,0.4837407433544093,-0.09698118597987893
comment_per_show,comment_cnt,show_cnt,20.0,0.0012256557880211201,100.0,0.0005432505514302356,0.010659159704524253,0.0024308480406668945,0.4575299442855718,0.4520145167555474,0.4547722305205596,-0.12594969881372864
follow_per_show,follow_cnt,show_cnt,20.0,0.0016497198537717462,100.0,0.0008196781354521751,0.00983073827854156,0.15861499806127782,0.4604847756805503,0.45246721087639197,0.4564759932784711,-0.12424593605581713
share_per_show,share_cnt,show_cnt,20.0,0.0004657235887979815,100.0,0.00014697001113369811,0.0047947350676161285,-0.12328635480142366,0.4496008986015218,0.44743548255044424,0.448518190575983,-0.1322037387583052
