bucket,users,validation_rows,GAUC,nDCG@5,primary,oracle_nDCG@5,nDCG_gap,overall_nDCG_gap_contribution,invariant_user_pct,GAUC_weight_share_pct
Cold,422,1990,0.6877021920828241,0.5305276208930029,0.6091149064879136,0.6421800947867299,0.11165247389372701,0.0021056148716607588,57.10900473933649,1.6911424606845513
T1,4351,13437,0.6550142995346907,0.5373947100839904,0.5962045048093405,0.6173293495748103,0.07993463949081991,0.015542548886113308,61.250287290278095,10.54868177613321
T2,5582,23310,0.6685743435715337,0.5409069293174007,0.6047406364444672,0.6603367968470082,0.11942986752960749,0.0297920865419971,48.011465424579,19.9468085106383
T3,5791,32052,0.6624413837210023,0.5520580005112797,0.607249692116141,0.7176653427732689,0.16560734226198914,0.04285793980601418,37.696425487825934,27.80122571692877
T4,6231,54120,0.6719989373930075,0.5153760892231344,0.593687513308071,0.7692184240089873,0.25384233478585294,0.07068380873444384,26.945915583373452,40.01214153561517
