bucket,users,validation_rows,GAUC,nDCG@5,primary,oracle_nDCG@5,nDCG_gap,overall_nDCG_gap_contribution,invariant_user_pct,GAUC_weight_share_pct
1,3917,3917,0.5,0.4054123053357161,0.4527061526678581,0.4054123053357161,0.0,0.0,100.0,0.0
2-3,6218,15323,0.647212052942833,0.5412927415614172,0.5942523972521251,0.6085558057253136,0.06726306416389649,0.018690697277164426,53.393374075265356,10.265379278445883
4-5,4119,18326,0.6645314248689397,0.6185373350287094,0.6415343799488246,0.7492109735372663,0.13067363850855684,0.02405347977909218,28.744840980820584,16.35927382053654
6-10,5225,39587,0.6755737561262238,0.5912724710616645,0.6334231135939441,0.8535885167464115,0.262316045684747,0.06125045085144581,15.368421052631579,36.39280758556892
11-20,2346,32609,0.6676830645621215,0.5036747082264964,0.585678886394309,0.9181585677749361,0.4144838595484397,0.043454401148529276,8.184143222506394,27.08140610545791
21+,552,15147,0.6595520331945353,0.3934288680135641,0.5264904506040496,0.9420289855072463,0.5486001174936823,0.013532969783997525,5.797101449275362,9.90113320999075
